Index,Name,Phone,Email,Website,Practitioner, Location
157,"Kangaroo Point Medical Centre","07 3391 8008","info@kangaroopointmedicalcentre.com.au","www.kangaroopointmedicalcentre.com.au/","","289 Shafston Ave KANGAROO POINT QLD 4169"
158,"Mowbray Park Medical & Dermatology","07 3078 3930","","mowbrayparkmd.com/","","Suite 101, 33 LYTTON ROAD EAST BRISBANE QLD 4169"
159,"Aboriginal and Torres Strait Islander Community Health Service - Woolloongabba","07 3240 8900","admin.reception@atsichsbrisbane.org.au","www.atsichsbrisbane.org.au/","","55 Annerley Road WOOLLOONGABBA QLD 4102"
160,"Woolloongabba Medical Clinic","07 3240 8900","","www.atsichsbrisbane.org.au/","","55 Annerley Road WOOLLOONGABBA QLD 4102"
161,"Mater Hill Family Medical Centre","07 3828 6300","materhill.mc@fullertonhealth.com.au","www.materhillfamilymedicalcentre.com.au/","Judith Ridd","Taylor Medical Centre, Suite 7, 40 Annerley Road WOOLLOONGABBA QLD 4102"
162,"Mater Hill Family Medical Centre","07 3828 6300","materhill.mc@fullertonhealth.com.au","www.materhillfamilymedicalcentre.com.au/","Chrysostomos Michaelides","Taylor Medical Centre, Suite 7, 40 Annerley Road WOOLLOONGABBA QLD 4102"
163,"Mater Hill Family Medical Centre","07 3828 6300","materhill.mc@fullertonhealth.com.au","www.materhillfamilymedicalcentre.com.au/","Anjana De Almeida","Taylor Medical Centre, Suite 7, 40 Annerley Road WOOLLOONGABBA QLD 4102"
164,"Myhealth Brisbane Showgrounds","07 3180 4768","","myhealth.net.au/brisbane-showgrounds/","","Y07 The Yards, Shop 9, 30 King Street BOWEN HILLS QLD 4006"
165,"Grow Medical - Highgate Hill","07 3036 4081","highgatehill@growmedical.com.au","www.growmedical.com.au/","","109 Gladstone Road HIGHGATE HILL QLD 4101"
166,"Woolloongabba Medical Centre & Skin Cancer Clinic","07 3217 3344","reception@gabbamedicalcentre.com.au","www.gabbamedicalcentre.com.au/","","468 Vulture Street WOOLLOONGABBA QLD 4102"
167,"James St Medical","07 2101 4797","admin@jamesstmedical.com.au","www.jamesstmedical.com.au/","Dora Lee","6-10 JAMES STREET FORTITUDE VALLEY QLD 4006"
168,"James St Medical","07 2101 4797","admin@jamesstmedical.com.au","www.jamesstmedical.com.au/","Christopher Hannon","6-10 JAMES STREET FORTITUDE VALLEY QLD 4006"
169,"James St Medical","07 2101 4797","admin@jamesstmedical.com.au","www.jamesstmedical.com.au/","Abha Chikarsal","6-10 JAMES STREET FORTITUDE VALLEY QLD 4006"
170,"Merthyr 7 Day Medical Centre","07 3254 1400","rosie@merthyrmedical.com","www.merthyrmedical.com/","Abha Chikarsal","Merthyr Centre, Shop 2, 900 Brunswick Street NEW FARM QLD 4005"
171,"Milton Village Medical","07 3367 0333","reception@mvmedical.com.au","www.miltonvillagemedical.com.au/","Janeane McKeon","Milton Village, Level 1, 36 Baroona Road MILTON QLD 4064"
172,"Milton Village Medical","07 3367 0333","reception@mvmedical.com.au","www.miltonvillagemedical.com.au/","Katherine Shanley","Milton Village, Level 1, 36 Baroona Road MILTON QLD 4064"
173,"Milton Village Medical","07 3367 0333","reception@mvmedical.com.au","www.miltonvillagemedical.com.au/","Mardi Vory","Milton Village, Level 1, 36 Baroona Road MILTON QLD 4064"
